seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
1,16,CosineSchedule,md4,gibbs,8,4,4.0,False,,7.332722,0.00073228334
2,16,CosineSchedule,md4,gibbs,8,4,4.0,False,,7.424164,0.00074015727
3,16,CosineSchedule,md4,gibbs,8,4,4.0,False,,7.391581,0.00082677155
4,16,CosineSchedule,md4,gibbs,8,4,4.0,False,,7.409123,0.00076377933
0,16,CosineSchedule,md4,gibbs,8,8,0.01,False,,6.8226643,0.0042204713
1,16,CosineSchedule,md4,gibbs,8,8,0.01,False,,6.7592545,0.004173227
2,16,CosineSchedule,md4,gibbs,8,8,0.01,False,,6.8828306,0.0042913374
3,16,CosineSchedule,md4,gibbs,8,8,0.01,False,,6.9403024,0.004338581
4,16,CosineSchedule,md4,gibbs,8,8,0.01,False,,6.865848,0.0045275576
0,16,CosineSchedule,md4,gibbs,8,8,0.1,False,,6.8544497,0.0040314947
1,16,CosineSchedule,md4,gibbs,8,8,0.1,False,,6.807424,0.004204723
2,16,CosineSchedule,md4,gibbs,8,8,0.1,False,,6.8676896,0.0042992113
3,16,CosineSchedule,md4,gibbs,8,8,0.1,False,,6.9739566,0.0043228334
4,16,CosineSchedule,md4,gibbs,8,8,0.1,False,,6.918171,0.0045275576
0,16,CosineSchedule,md4,gibbs,8,8,0.5,False,,7.098885,0.0033149596
1,16,CosineSchedule,md4,gibbs,8,8,0.5,False,,7.037607,0.003566928
2,16,CosineSchedule,md4,gibbs,8,8,0.5,False,,7.0918055,0.003582676
3,16,CosineSchedule,md4,gibbs,8,8,0.5,False,,7.230005,0.003559054
4,16,CosineSchedule,md4,gibbs,8,8,0.5,False,,7.21696,0.0033700778
0,16,CosineSchedule,md4,gibbs,8,8,1.0,False,,7.376246,0.0021181095
1,16,CosineSchedule,md4,gibbs,8,8,1.0,False,,7.3297825,0.0022755899
2,16,CosineSchedule,md4,gibbs,8,8,1.0,False,,7.380499,0.0022677158
3,16,CosineSchedule,md4,gibbs,8,8,1.0,False,,7.498535,0.0021811016
4,16,CosineSchedule,md4,gibbs,8,8,1.0,False,,7.4500904,0.0022598421
0,16,CosineSchedule,md4,gibbs,8,8,2.0,False,,7.4509573,0.0014015745
1,16,CosineSchedule,md4,gibbs,8,8,2.0,False,,7.4005547,0.0014488185
2,16,CosineSchedule,md4,gibbs,8,8,2.0,False,,7.4237328,0.0015433066
