seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
2,16,CosineSchedule,md4,gibbs,8,8.0,0.1,True,,5.229826,0.03398425
3,16,CosineSchedule,md4,gibbs,8,8.0,0.1,True,,5.2726974,0.034425206
4,16,CosineSchedule,md4,gibbs,8,8.0,0.1,True,,5.241176,0.03475591
0,16,CosineSchedule,md4,gibbs,8,8.0,0.5,True,,5.2172494,0.034362204
1,16,CosineSchedule,md4,gibbs,8,8.0,0.5,True,,5.1971254,0.035149615
2,16,CosineSchedule,md4,gibbs,8,8.0,0.5,True,,5.243967,0.034141734
3,16,CosineSchedule,md4,gibbs,8,8.0,0.5,True,,5.3587875,0.033803154
4,16,CosineSchedule,md4,gibbs,8,8.0,0.5,True,,5.259049,0.034834646
0,16,CosineSchedule,md4,gibbs,8,8.0,1.0,True,,5.310322,0.03318898
1,16,CosineSchedule,md4,gibbs,8,8.0,1.0,True,,5.275522,0.033811025
2,16,CosineSchedule,md4,gibbs,8,8.0,1.0,True,,5.3030615,0.03386614
3,16,CosineSchedule,md4,gibbs,8,8.0,1.0,True,,5.4637814,0.033181097
4,16,CosineSchedule,md4,gibbs,8,8.0,1.0,True,,5.3754406,0.033763777
0,16,CosineSchedule,md4,gibbs,8,8.0,2.0,True,,5.459586,0.031645667
1,16,CosineSchedule,md4,gibbs,8,8.0,2.0,True,,5.400844,0.033425204
2,16,CosineSchedule,md4,gibbs,8,8.0,2.0,True,,5.459586,0.032259844
3,16,CosineSchedule,md4,gibbs,8,8.0,2.0,True,,5.5647335,0.03222047
4,16,CosineSchedule,md4,gibbs,8,8.0,2.0,True,,5.448663,0.032889765
0,16,CosineSchedule,md4,gibbs,8,8.0,4.0,True,,5.5224786,0.031425197
1,16,CosineSchedule,md4,gibbs,8,8.0,4.0,True,,5.450752,0.031913392
2,16,CosineSchedule,md4,gibbs,8,8.0,4.0,True,,5.4829726,0.03136221
3,16,CosineSchedule,md4,gibbs,8,8.0,4.0,True,,5.6577086,0.03054331
4,16,CosineSchedule,md4,gibbs,8,8.0,4.0,True,,5.5625567,0.031307086
0,16,CosineSchedule,md4,gibbs,8,16.0,0.0,True,,3.85577,0.057716537
1,16,CosineSchedule,md4,gibbs,8,16.0,0.0,True,,3.8500872,0.057204735
2,16,CosineSchedule,md4,gibbs,8,16.0,0.0,True,,3.8825529,0.056582674
3,16,CosineSchedule,md4,gibbs,8,16.0,0.0,True,,3.9129374,0.055496067
4,16,CosineSchedule,md4,gibbs,8,16.0,0.0,True,,3.8210096,0.057834644
0,16,CosineSchedule,md4,gibbs,8,16.0,0.1,True,,4.138243,0.046503942
1,16,CosineSchedule,md4,gibbs,8,16.0,0.1,True,,4.064008,0.048039373
2,16,CosineSchedule,md4,gibbs,8,16.0,0.1,True,,4.1536865,0.046031494
3,16,CosineSchedule,md4,gibbs,8,16.0,0.1,True,,4.180411,0.04512598
4,16,CosineSchedule,md4,gibbs,8,16.0,0.1,True,,4.067107,0.048157483
0,16,CosineSchedule,md4,gibbs,8,16.0,0.5,True,,4.1935587,0.046078727
1,16,CosineSchedule,md4,gibbs,8,16.0,0.5,True,,4.1143003,0.04726771
2,16,CosineSchedule,md4,gibbs,8,16.0,0.5,True,,4.2219143,0.044952754
3,16,CosineSchedule,md4,gibbs,8,16.0,0.5,True,,4.236587,0.04497638
4,16,CosineSchedule,md4,gibbs,8,16.0,0.5,True,,4.1488395,0.046850387
0,16,CosineSchedule,md4,gibbs,8,16.0,1.0,True,,4.2809362,0.045535434
1,16,CosineSchedule,md4,gibbs,8,16.0,1.0,True,,4.2406573,0.046133857
2,16,CosineSchedule,md4,gibbs,8,16.0,1.0,True,,4.301654,0.04438582
3,16,CosineSchedule,md4,gibbs,8,16.0,1.0,True,,4.3799615,0.043039367
4,16,CosineSchedule,md4,gibbs,8,16.0,1.0,True,,4.288682,0.045094483
0,16,CosineSchedule,md4,gibbs,8,16.0,2.0,True,,4.5089474,0.04145669
1,16,CosineSchedule,md4,gibbs,8,16.0,2.0,True,,4.457445,0.04268504
2,16,CosineSchedule,md4,gibbs,8,16.0,2.0,True,,4.507836,0.041283473
3,16,CosineSchedule,md4,gibbs,8,16.0,2.0,True,,4.59094,0.0406378
4,16,CosineSchedule,md4,gibbs,8,16.0,2.0,True,,4.4953294,0.042598423
0,16,CosineSchedule,md4,gibbs,8,16.0,4.0,True,,4.693803,0.038574807
1,16,CosineSchedule,md4,gibbs,8,16.0,4.0,True,,4.6674447,0.039291345
2,16,CosineSchedule,md4,gibbs,8,16.0,4.0,True,,4.7509465,0.037559062
3,16,CosineSchedule,md4,gibbs,8,16.0,4.0,True,,4.8176446,0.03708661
4,16,CosineSchedule,md4,gibbs,8,16.0,4.0,True,,4.726212,0.038393706
0,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.0,True,,6.849682,0.018299216
1,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.0,True,,6.644518,0.019543312
2,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.0,True,,6.837607,0.019070873
3,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.0,True,,6.8998976,0.01866142
4,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.0,True,,6.771054,0.018685043
0,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.1,True,,6.771412,0.018645667
1,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.1,True,,6.633499,0.019370085
2,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.1,True,,6.7613964,0.019212605
3,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.1,True,,6.865112,0.019094491
4,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.1,True,,6.73082,0.018944884
0,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.5,True,,6.6310935,0.019692915
1,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.5,True,,6.5782714,0.019748032
2,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.5,True,,6.753192,0.018874021
3,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.5,True,,6.819393,0.019133864
4,17,CosineSchedule,md4,gibbs_argmax,8,1.0,0.5,True,,6.745007,0.01876378
0,17,CosineSchedule,md4,gibbs_argmax,8,1.0,1.0,True,,6.559057,0.01995276
1,17,CosineSchedule,md4,gibbs_argmax,8,1.0,1.0,True,,6.4656262,0.020244095
