seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,avg_run_length,error_rate
1,16,LinearSchedule,md4,forward_backward,8,,,False,,1.0,2.4420958,0.14629133
2,16,LinearSchedule,md4,forward_backward,8,,,False,,1.0,2.4557767,0.14586611
3,16,LinearSchedule,md4,forward_backward,8,,,False,,1.0,2.450652,0.14602363
4,16,LinearSchedule,md4,forward_backward,8,,,False,,1.0,2.4577572,0.14266929
0,16,LinearSchedule,md4,forward_backward,8,,,False,,1.5,2.2552283,0.16503938
1,16,LinearSchedule,md4,forward_backward,8,,,False,,1.5,2.247941,0.16483465
2,16,LinearSchedule,md4,forward_backward,8,,,False,,1.5,2.2427418,0.16848038
3,16,LinearSchedule,md4,forward_backward,8,,,False,,1.5,2.2489676,0.16478741
4,16,LinearSchedule,md4,forward_backward,8,,,False,,1.5,2.2632034,0.16433069
0,16,LinearSchedule,md4,forward_backward,8,,,False,,2.0,2.09164,0.18698426
1,16,LinearSchedule,md4,forward_backward,8,,,False,,2.0,2.0901372,0.18518901
2,16,LinearSchedule,md4,forward_backward,8,,,False,,2.0,2.094995,0.185126
3,16,LinearSchedule,md4,forward_backward,8,,,False,,2.0,2.0940354,0.18359844
4,16,LinearSchedule,md4,forward_backward,8,,,False,,2.0,2.1056442,0.18163781
0,16,LinearSchedule,md4,forward_backward,8,,,False,,3.0,1.8968583,0.2177401
1,16,LinearSchedule,md4,forward_backward,8,,,False,,3.0,1.894416,0.21659847
2,16,LinearSchedule,md4,forward_backward,8,,,False,,3.0,1.8969989,0.21757482
3,16,LinearSchedule,md4,forward_backward,8,,,False,,3.0,1.9012536,0.2134173
4,16,LinearSchedule,md4,forward_backward,8,,,False,,3.0,1.9103336,0.21371657
0,16,LinearSchedule,md4,forward_backward,8,,,False,,4.0,1.8137763,0.23690553
1,16,LinearSchedule,md4,forward_backward,8,,,False,,4.0,1.8160409,0.23557483
2,16,LinearSchedule,md4,forward_backward,8,,,False,,4.0,1.8007373,0.2375591
3,16,LinearSchedule,md4,forward_backward,8,,,False,,4.0,1.8051051,0.23596853
4,16,LinearSchedule,md4,forward_backward,8,,,False,,4.0,1.810006,0.23333068
0,16,LinearSchedule,md4,forward_backward,8,,,False,,5.0,1.7725831,0.24970078
1,16,LinearSchedule,md4,forward_backward,8,,,False,,5.0,1.7750413,0.24660636
2,16,LinearSchedule,md4,forward_backward,8,,,False,,5.0,1.7660286,0.24906299
3,16,LinearSchedule,md4,forward_backward,8,,,False,,5.0,1.7699115,0.24721257
4,16,LinearSchedule,md4,forward_backward,8,,,False,,5.0,1.7727795,0.24355906
0,32,LinearSchedule,md4,forward_backward,16,,,False,,0.01,3.7199569,0.0704567
1,32,LinearSchedule,md4,forward_backward,16,,,False,,0.01,3.714236,0.06890551
2,32,LinearSchedule,md4,forward_backward,16,,,False,,0.01,3.7624927,0.068677165
3,32,LinearSchedule,md4,forward_backward,16,,,False,,0.01,3.7216876,0.069173224
4,32,LinearSchedule,md4,forward_backward,16,,,False,,0.01,3.7340646,0.06914959
0,32,LinearSchedule,md4,forward_backward,16,,,False,,0.1,3.8655512,0.06737795
1,32,LinearSchedule,md4,forward_backward,16,,,False,,0.1,3.80375,0.06698425
2,32,LinearSchedule,md4,forward_backward,16,,,False,,0.1,3.8572807,0.06684253
3,32,LinearSchedule,md4,forward_backward,16,,,False,,0.1,3.852521,0.06724409
4,32,LinearSchedule,md4,forward_backward,16,,,False,,0.1,3.849624,0.06852755
0,32,LinearSchedule,md4,forward_backward,16,,,False,,0.5,3.9128177,0.06858268
1,32,LinearSchedule,md4,forward_backward,16,,,False,,0.5,3.8704605,0.06954332
2,32,LinearSchedule,md4,forward_backward,16,,,False,,0.5,3.905654,0.06755906
3,32,LinearSchedule,md4,forward_backward,16,,,False,,0.5,3.9001799,0.069141746
4,32,LinearSchedule,md4,forward_backward,16,,,False,,0.5,3.9069657,0.069826744
0,32,LinearSchedule,md4,forward_backward,16,,,False,,1.0,3.606345,0.08151971
1,32,LinearSchedule,md4,forward_backward,16,,,False,,1.0,3.5760183,0.08175591
2,32,LinearSchedule,md4,forward_backward,16,,,False,,1.0,3.6172497,0.0813622
3,32,LinearSchedule,md4,forward_backward,16,,,False,,1.0,3.5926797,0.08203936
4,32,LinearSchedule,md4,forward_backward,16,,,False,,1.0,3.5884497,0.08397637
0,32,LinearSchedule,md4,forward_backward,16,,,False,,1.5,3.2591538,0.09709448
1,32,LinearSchedule,md4,forward_backward,16,,,False,,1.5,3.2431335,0.09725196
2,32,LinearSchedule,md4,forward_backward,16,,,False,,1.5,3.2618942,0.097606294
3,32,LinearSchedule,md4,forward_backward,16,,,False,,1.5,3.2626429,0.09615749
4,32,LinearSchedule,md4,forward_backward,16,,,False,,1.5,3.2394402,0.099551186
0,32,LinearSchedule,md4,forward_backward,16,,,False,,2.0,2.9873736,0.11288979
1,32,LinearSchedule,md4,forward_backward,16,,,False,,2.0,2.927722,0.113677144
2,32,LinearSchedule,md4,forward_backward,16,,,False,,2.0,2.958785,0.11106298
3,32,LinearSchedule,md4,forward_backward,16,,,False,,2.0,2.9731486,0.11296063
4,32,LinearSchedule,md4,forward_backward,16,,,False,,2.0,2.9628258,0.11458268
0,32,LinearSchedule,md4,forward_backward,16,,,False,,3.0,2.535708,0.14503151
1,32,LinearSchedule,md4,forward_backward,16,,,False,,3.0,2.5332992,0.14305511
2,32,LinearSchedule,md4,forward_backward,16,,,False,,3.0,2.5482779,0.14249605
3,32,LinearSchedule,md4,forward_backward,16,,,False,,3.0,2.5315955,0.14556693
4,32,LinearSchedule,md4,forward_backward,16,,,False,,3.0,2.519933,0.14574803
0,32,LinearSchedule,md4,forward_backward,16,,,False,,4.0,2.2740598,0.16969293
1,32,LinearSchedule,md4,forward_backward,16,,,False,,4.0,2.2768915,0.16912596
2,32,LinearSchedule,md4,forward_backward,16,,,False,,4.0,2.265206,0.1684882
3,32,LinearSchedule,md4,forward_backward,16,,,False,,4.0,2.279527,0.16933858
4,32,LinearSchedule,md4,forward_backward,16,,,False,,4.0,2.2611246,0.17090555
0,32,LinearSchedule,md4,forward_backward,16,,,False,,5.0,2.096642,0.19180319
1,32,LinearSchedule,md4,forward_backward,16,,,False,,5.0,2.1124203,0.18992914
2,32,LinearSchedule,md4,forward_backward,16,,,False,,5.0,2.0982573,0.19075595
3,32,LinearSchedule,md4,forward_backward,16,,,False,,5.0,2.1082451,0.18919687
4,32,LinearSchedule,md4,forward_backward,16,,,False,,5.0,2.0909564,0.19114178
0,64,LinearSchedule,md4,forward_backward,32,,,False,,0.01,5.346477,0.034220472
1,64,LinearSchedule,md4,forward_backward,32,,,False,,0.01,5.2931933,0.03455906
2,64,LinearSchedule,md4,forward_backward,32,,,False,,0.01,5.2083335,0.035811022
3,64,LinearSchedule,md4,forward_backward,32,,,False,,0.01,5.330224,0.03390551
